,index,city_st
1199,"East Grand Forks, MN",1
1961,"East Grand Rapids, MI",1
1489,"East Hampton, CT",1
1154,"East Hartford, CT",1
684,"East Haven, CT",2
400,"East Lansing, MI",3
1842,"East Liverpool, OH",1
1508,"East Longmeadow, MA",1
1994,"East Los Angeles, CA",1
2019,"East Lyme, CT",1
1517,"East Meadow, NY",1
372,"East Palo Alto, CA",3
2375,"East Setauket, NY",1
2222,"East Stroudsburg, PA",1
2548,"East Tawas, MI",1
273,"Easton, MA",3
499,"Easton, MD",2
554,"Easton, PA",2
1206,"Eastpointe, MI",1
1669,"Eastsound, WA",1
1034,"Eaton, OH",1
1454,"Eatontown, NJ",1
715,"Eau Claire, WI",2
2100,"Edgewood, MD",1
1597,"Edina, MN",1
1353,"Edinburg, TX",1
696,"Edmond, OK",2
757,"Edmonds, WA",2
1333,"Edna, TX",1
912,"Edwardsville, IL",2
2575,"Effingham, IL",1
1403,"El Campo, TX",1
2240,"El Centro, CA",1
1483,"El Dorado, AR",1
1917,"El Monte, CA",1
101,"El Paso, TX",6
2037,"Elburn, IL",1
111,"Elgin, IL",6
1253,"Elizabeth City, NC",1
809,"Elizabeth, NJ",2
1122,"Elizabethtown, KY",1
2296,"Elizabethtown, NY",1
1023,"Elizabethtown, PA",1
2587,"Elk Grove Village, IL",1
706,"Elkhart, IN",2
454,"Elkin, NC",2
1581,"Elkton, MD",1
267,"Ellensburg, WA",3
609,"Ellsworth, ME",2
1711,"Elmhurst, IL",1
244,"Elmira, NY",4
451,"Elsmere, KY",2
1031,"Elyria, OH",1
702,"Emporia, KS",2
87,"Encinitas, CA",7
1124,"Encino, CA",1
959,"Enfield, CT",1
480,"Englewood, NJ",2
2150,"Englewood, OH",1
1402,"Enid, OK",1
2470,"Enterprise, OR",1
2610,"Ephrata, PA",1
589,"Erie, PA",2
1750,"Erlanger, KY",1
1417,"Escanaba, MI",1
224,"Escondido, CA",4
1127,"Essex, VT",1
1027,"Estes Park, CO",1
1586,"Euclid, OH",1
13,"Eugene, OR",13
1078,"Eureka, CA",1
1328,"Evans, GA",1
484,"Evanston, IL",2
109,"Evansville, IN",6
2549,"Everett, MA",1
488,"Everett, WA",2
940,"Evergreen Park, IL",1
2462,"Evergreen, CO",1
1835,"Exmore, VA",1
813,"Fairbanks, AK",2
1928,"Fairborn, OH",1
