id,date,city_st,location,size,size_str,urls,collection
30161,2020-05-30,"Ferguson, MO","Ferguson, MO",,nan,"['https://www.kmov.com/news/7-officers-hurt-after-ferguson-protesters-hurl-rocks-fireworks-at-police/article_bc891018-a2ee-11ea-a5e1-5392900afd22.html', 'https://www.stltoday.com/tncms/asset/editorial/0b5ea7ab-a5bb-5d09-b795-854701540689/', 'https://www.stltoday.com/news/local/metro/watch-now-state-rep-raychel-proudie-urges-protesters-not-to-destroy-ferguson/video_75dd9eed-02d2-5eb3-abd2-1c6e83261b45.html', 'http://www.stlamerican.com/news/local_news/st-louis-march-among-nationwide-protests-in-response-to-fatal-arrest-of-george-boyd-blocks/article_d3fee354-a27a-11ea-8f56-6f4a2cb1acad.html']",Count Love
30162,2020-05-30,"Bend, OR","Bend, OR",100.0,100.0,['https://www.bendbulletin.com/localstate/bend-rally-calls-attention-to-killing-of-george-floyd/article_891e8f9c-a2a2-11ea-a55e-171d65d127a7.html'],Count Love
30163,2020-05-30,"Santa Monica, CA","Santa Monica, CA",,nan,['https://www.vox.com/identities/2020/5/31/21276013/police-targeted-journalists-covering-george-floyd-protests'],Count Love
30166,2020-05-30,"Cincinnati, OH","Washington Park, Cincinnati, OH",200.0,200.0,"['https://www.wcpo.com/news/local-news/hamilton-county/cincinnati/justice-for-george-hundreds-gather-at-washington-park-for-second-day-of-protests', 'https://www.cleveland.com/metro/2020/05/police-protesters-clash-in-downtown-cleveland-during-george-floyd-protests-as-businesses-looted-curfew-imposed.html', 'https://www.cincinnati.com/story/news/2020/06/05/cincinnati-metro-police-union-says-bus-system-abandoning-police/3153542001/']",Count Love
30167,2020-05-30,"Hoover, AL","City Hall, Hoover, AL",,nan,['https://apnews.com/d4771f87a8af888630bdb9f9f43d2d3b'],Count Love
30169,2020-05-30,"New Haven, CT","New Haven, CT",,nan,"['https://www.mysanantonio.com/news/article/The-Latest-Minn-Gov-Fully-mobilize-state-15305329.php', 'https://www.theday.com/article/20200531/NWS12/200539937']",Count Love
30173,2020-05-30,"Newburyport, MA","Market Square, Newburyport, MA",150.0,150.0,"['https://www.newburyportnews.com/news/local_news/150-rally-in-newburyport-calling-for-justice-for-george-floyd/article_ef8fdc99-2b2f-5da1-b080-7ec7601572b9.html', 'https://www.newburyportnews.com/news/local_news/newburyport-rally-calls-for-justice-for-george-floyd/article_ef8fdc99-2b2f-5da1-b080-7ec7601572b9.html']",Count Love
30177,2020-05-30,"Belleville, IL","Belleville, IL",100.0,100.0,"['https://www.bnd.com/news/local/community/belleville/article243118626.html', 'https://www.bnd.com/news/local/article243145781.html']",Count Love
30180,2020-05-30,"Prescott Valley, AZ","Prescott Valley, AZ",150.0,150.0,['https://www.dcourier.com/news/2020/may/31/george-floyd-protest-comes-prescott-valley-gov-duc/'],Count Love
30182,2020-05-30,"Little Rock, AR","Little Rock, AR",400.0,400.0,['https://www.arkansasonline.com/news/2020/may/31/in-lr-rally-near-capitol-turns-violent-/?news-politics'],Count Love
30183,2020-05-30,"Willmar, MN","Willmar, MN",15.0,15.0,"['https://www.wctrib.com/news/6514594-Group-gathers-for-George-Floyd-protest-in-Willmar', 'https://www.thedickinsonpress.com/news/crime-and-courts/6514782-Demonstrators-march-throughout-region-protesting-death-of-George-Floyd']",Count Love
