city,text,state,references
Greenfield,"On May 30, residents from Greenfield and beyond gathered for a ""Justice for George Floyd"" rally that followed a motorcade that began in surrounding town Erving, running through Millers Falls and Turners Falls, and finally arriving at the Greenfield Common.",Massachusetts,"['https://www.recorder.com/Rally-for-George-Floyd-draws-crowd-in-Greenfield-34542191', 'https://www.recorder.com/Black-Lives-Matter-protests-in-Franklin-County-34649360']"
Holyoke,"On June 2, over 1,000 people participated in a peaceful march in Holyoke, beginning at City Hall, going on High Street, and ending in front of the police station on Appleton Street.",Massachusetts,['https://www.gazettenet.com/Holyoke-marches-against-police-brutality-34577972']
Lowell,More than 200 people took part in a march from the Pawtucketville neighborhood across the Howe Bridge and to Lowell City Hall on June 3.,Massachusetts,['https://www.lowellsun.com/2020/06/05/lowell-shows-path-to-peaceful-protest-for-equality/']
New Bedford,"A group of about twenty-five people began peacefully marching around the city in the early afternoon on Saturday, May 30. The crowd gradually grew to a size of almost one hundred protesters, until one of the leaders asked the crowd to disperse at around 9:30 pm and begin again the next day. A second, smaller crowd gathered and resumed protesting the following morning.",Massachusetts,['https://www.southcoasttoday.com/news/20200530/new-bedford-protest-supports-black-lives-in-wake-of-minnesota-mans-death']
Newton,"On Sunday, May 31, hundreds of people peacefully protested at the lawn of Newton City Hall. Mayor of Newton Ruthanne Fuller, School Committee Chairwoman Ruth Goldman, and City Council President Susan Albright were also in attendance. The demonstrators then marched down Washington Street and eventually reached City Hall in Newton Centre, where they concluded their protest. On June 7, a protest started on the Boston College campus in Chestnut Hill, near the Chestnut Hill Reservoir. This protest targeted the Newton Police Department, and continued along Commonwealth Avenue to City Hall, some 3 miles down the road.",Massachusetts,"['https://patch.com/massachusetts/newton/i-hear-you-black-lives-matter-mayor-protesters-city-hall', 'https://newton.wickedlocal.com/news/20200604/crowds-protest-racial-injustice-in-front-of-newton-police-station-with-videos']"
Northampton,"On June 1, more than 1,000 people flooded Center Street protesting against police brutality outside the city's police station. A police cruiser's windshield was smashed, the flag in front of the police station was found burned, and some protesters wrote in chalk and spray paint on the police station resulting in multiple protestors being pepper-sprayed.",Massachusetts,"['https://www.gazettenet.com/Northampton-Protest-Followup-34577543', 'https://www.masslive.com/news/2020/06/protesters-turn-out-by-the-thousands-against-police-brutality-in-northampton-organizers-turn-down-offer-from-police-chief-mayor-to-walk-with-them.html', 'https://www.gazettenet.com/Thousands-join-in-protest-Saturday-in-Northampton-34633876']"
Oaks Bluff,"On May 31, scores of people protested at Waban Park on Martha's Vineyard. The mother of Danroy Henry, who was shot by Pleasantville police in 2010, said ""nothing has changed"" since then.",Massachusetts,['https://www.mvtimes.com/2020/05/31/floyd-killing-sparks-oak-bluffs-rally/']
Quincy,"On June 2, nearly 4,500 people held a vigil at Quincy Center in honor of George Floyd before taking part in an hour-long march down Hancock Street.",Massachusetts,['https://www.patriotledger.com/news/20200602/thousands-gather-in-quincy-center-to-protest-march']
Salem,A peaceful crowd gathered on May 29 in front of the police station in Salem.,Massachusetts,"['https://patch.com/massachusetts/salem/salem-sees-peaceful-protest-over-death-george-floyd', 'https://www.nbcboston.com/george-floyd-protests/more-protests-planned-saturday-in-mass-as-george-floyds-death-resonates/2138275/']"
Shelburne Falls,"On June 6, protestors met at the middle of the Iron Bridge and kneeled for nine minutes to honor Floyd.",Massachusetts,['https://www.recorder.com/Black-Lives-Matter-protests-in-Franklin-County-34649360']
South Hadley,"On June 7, over 230 demonstrators attended a vigil for racial justice on College Street.",Massachusetts,['https://www.gazettenet.com/SouthHadleyVigil-hg-060920-34668899']
Springfield,"Several hundred people peacefully protested outside of the city police's headquarters on Friday, May 29.",Massachusetts,"['https://www.wwlp.com/news/local-news/hampden-county/peaceful-protest-in-springfield-to-honor-george-floyd/', 'https://www.masslive.com/news/2020/06/black-lives-matter-protesters-march-from-court-square-to-springfield-police-headquarters.html']"
Taunton,"A protest was planned to take place on the evening of June 4. Following the looting that occurred in the Brockton protest a few days earlier, many Taunton businesses boarded up their doors and windows in preparation,",Massachusetts,"['https://www.abc6.com/downtown-taunton-boarded-up-ahead-of-thursday-protests/', 'https://turnto10.com/news/local/taunton-protest-remains-peaceful-officers-kneel-to-end-the-night']"
Worcester,"On June 1, thousands of people peacefully participated in a march from the City Hall commons area to the courthouse. <span class=""mw-headline""",Massachusetts,"['https://www.boston25news.com/news/local/thousands-participate-solidarity-protest-worcester/6AMKYFAH6JGOTC6Y6XEK4KKRXA/', 'https://www.masslive.com/worcester/2020/06/hours-after-peaceful-protest-ended-in-worcester-police-in-riot-gear-and-crowd-fill-main-south-as-fireworks-are-thrown-and-tear-gas-is-fired.html', 'https://www.masslive.com/worcester/2020/06/scenes-from-a-protest-in-worcester-on-saturday-demanding-justice-after-death-of-george-floyd-in-police-custody.html']"
