,date,city_st,size,size_str,urls,collection
55,2020-01-01,"Santa Fe, NM",,about 250 people,"['https://www.kob.com/new-mexico-news/hundreds-in-santa-fe-engage-in-peaceful-protest-of-george-floyds-death/5745293/', 'https://www.nytimes.com/2020/06/05/nyregion/nyc-protests-george-floyd.html', 'https://www.nytimes.com/2020/06/05/nyregion/nyc-protests-george-floyd.html', 'https://www.politico.com/news/2020/06/05/buffalo-police-new-york-city-protests-303168', 'https://www.pressrepublican.com/news/local_news/plattsburgh-black-lives-matter-protest-draws-large-crowd/article_7e0a1d4a-a94e-5095-90b7-ce5e4bed811d.html', 'https://www.northcountrypublicradio.org/news/story/41606/20200606/coronavirus-live-blog-saturday-june-6-updates', 'https://www.cbs17.com/news/local-news/wake-county-news/protesters-gather-in-raleigh-over-death-of-george-floyd/', 'https://www.newsobserver.com/news/local/article243114301.html']",Wikipedia
56,2020-05-30,"Bismarck, ND",200.0,Hundreds,['https://bismarcktribune.com/news/local/bismarck/bismarck-holds-rally-to-protest-death-of-george-floyd/article_eb7f4262-af80-5b28-bbaa-11bdcb283ce9.html'],Wikipedia
57,2020-01-01,"Dickinson, ND",200.0,hundreds,['https://www.kfyrtv.com/content/news/Dickinson-protest-stays-peaceful-with-help-of-biker-gang-570985441.html'],Wikipedia
58,2020-05-30,"Fargo, ND",,,"['https://www.westfargopioneer.com/news/6514151-Thousands-of-Black-Lives-Matter-demonstrators-march-through-Fargo-streets-demanding-end-to-police-brutality', 'https://www.westfargopioneer.com/news/government-and-politics/6514461-Mayors-of-Fargo-and-Moorhead-join-crowd-to-defuse-Black-Lives-Matter-demonstration']",Wikipedia
59,2020-06-04,"Grand Forks, ND",200.0,hundreds,['https://www.valleynewslive.com/content/news/Peaceful-protest-in-Grand-Forks--571035701.html'],Wikipedia
60,2020-05-31,"Minot, ND",,dozens of protestors,"['https://twitter.com/KRS_RogueShark/status/1267161414663311362', 'https://www.daytondailynews.com/news/local/ohio-cities-issue-curfews-crowds-after-weekend-protests/w2bjhpPJcbUhnYtPyLvG7H/']",Wikipedia
61,2020-06-02,"Enid, OK",,few dozen,['https://www.pnj.com/story/news/2020/05/30/george-floyd-pensacola-caravan-honors-tymar-crawford/5291879002/'],Wikipedia
62,2020-05-31,"Lawton, OK",,One thousand,['https://www.swoknews.com/news/peace-rally-calls-for-systemic-change-and-community-action-for-a-better-nation/article_4028e763-40b1-5b7c-b77d-c87bc5b50b87.html'],Wikipedia
63,2020-06-01,"Norman, OK",200.0,hundreds,['https://kfor.com/news/ok-protests-continue-monday-as-demonstrations-head-to-norman/'],Wikipedia
65,2020-05-30,"Tulsa, OK",200.0,hundreds,"['https://ktul.com/news/local/demonstrators-shut-down-i-44-near-peoria-while-protesting', 'https://ktul.com/news/local/demonstrators-shut-down-i-44-near-peoria-while-protesting']",Wikipedia
66,2020-06-03,"Stillwater, OK",200.0,several hundred,"['https://www.stwnewspress.com/news/photo-gallery-stillwaters-we-cant-breathe-peaceful-protest/collection_44fb1a44-a5d4-11ea-b60a-73ce15b45266.html', 'https://www.statesmanjournal.com/story/news/2020/05/31/police-use-tear-gas-disperse-protesters-downtown-salem-curfew-instituted/5298432002/', 'Missing']",Wikipedia
67,2020-06-06,"Bristol, RI",,more than 1000,['https://www.wpri.com/news/local-news/east-bay/peaceful-protest-taking-place-at-colt-state-park-in-bristol/'],Wikipedia
68,2020-01-01,"Providence, RI",,,[],Wikipedia
69,2020-06-01,"Newport, RI",120.0,more than 100 people,"['https://www.newportri.com/news/20200601/peaceful-vigil-held-in-newport-in-wake-of-george-floydrsquos-killing', 'https://www.wpri.com/news/local-news/east-bay/black-lives-matter-ri-holds-peaceful-protest-in-newport/']",Wikipedia
70,2020-01-01,"Woonsocket, RI",,,"['https://turnto10.com/news/local/police-plan-for-march-in-woonsocket', 'https://www.youtube.com/watch?v=8ZG32L_YChc']",Wikipedia
