id,date,city_st,location,size,size_str,urls,collection
,2020-05-29,"Birmingham, AL","Kelly Ingram Park, Birmingham, AL",100.0,more than 100,['https://www.youtube.com/watch?v=hpSCIaMadKc'],CCC
,2020-05-29,"Blacksburg, VA",", Blacksburg, VA",50.0,about 50,['https://www.wdbj7.com/content/news/Blacksburg-rally-in-response-to-George-Floyds-death-570888361.html'],CCC
,2020-05-29,"Bloomington, IL","Veterans Parkway , Bloomington, IL",18.0,about 18,['https://herald-review.com/news/local/public_safety/watch-now-bloomington-normal-black-lives-matter-protest-slaying-of-george-floyd/video_b50f82cf-87a5-5b58-b69a-99d4b3c7b452.html'],CCC
,2020-05-29,"Blue Springs, MO","Burrus Old Mill Park, Blue Springs, MO",12.0,almost a dozen,['https://fox4kc.com/news/blue-springs-teens-one-person-protest-inspires-others-growing-even-larger/'],CCC
,2020-05-29,"Boston, MA","South End, Boston, MA",200.0,hundreds,"['https://www.wcvb.com/article/boston-protest-south-end-justice-for-george-floyd/32716388', 'https://www.bostonglobe.com/2020/05/29/metro/what-do-we-want-justice-hundreds-chant-south-end-park-support-george-floyd/', 'https://boston.cbslocal.com/2020/05/29/boston-south-end-protest-police-brutality-mass-action-against-police-brutality-george-floyd/']",CCC
,2020-05-29,"Boulder, CO","Municipal Boulding, Boulder, CO",24.0,dozens,"['https://denver.cbslocal.com/2020/05/29/george-floyd-boulder-protest-sit-in-quiet/', 'https://www.dailycamera.com/2020/05/29/boulder-county-residents-to-host-a-justice-for-george-floyd-protest-saturday-in-boulder/']",CCC
,2020-05-29,"Bowling Green, KY","Bowling Green Police Department Headquarters, Bowling Green, KY",,,"['https://twitter.com/TheRealLeeGNews/status/1266777287049056256', 'https://nam10.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.bgdailynews.com%2Fnews%2Ftruck-strikes-woman-during-protest-outside-bgpd-headquarters-driver-arrested%2Farticle_45acb924-7650-5341-b3ea-c3c7fbca0c87.html&data=02%7C01%7Cjeremy.pressman%40uconn.edu%7C953663263d6d467f353e08d80cb93fcd%7C17f1a87e2a254eaab9df9d439034b080%7C0%7C0%7C637273337089915790&sdata=F9zqffqBy%2F%2FAQn2jI2PMK4jrnNU5F1taSpxiWlyki3c%3D&reserved=0']",CCC
,2020-05-29,"Brunswick, GA",", Brunswick, GA",,,['https://www.wsav.com/news/local-news/stop-killing-black-people-groups-protest-peacefully-in-savannah-brunswick/'],CCC
,2020-05-29,"Canton, NC","Tuscarawas Street E and Market Avenue N, Canton, NC",,,['https://fox8.com/news/no-justice-no-peace-citizens-gather-in-downtown-canton-to-protest-george-floyds-death/'],CCC
,2020-05-29,"Canton, OH","downtown Canton on the corner of Tuscarawas Street E and Market Avenue N, Canton, OH",,,"['https://fox8.com/news/no-justice-no-peace-citizens-gather-in-downtown-canton-to-protest-george-floyds-death/', 'https://www.limaohio.com/news/412332/canton-mayor-speaks-to-protesters']",CCC
,2020-05-29,"Canton, OH","Corner of Tuscarawas Street E and Market Avenue N, Canton, OH",,,['https://fox8.com/news/no-justice-no-peace-citizens-gather-in-downtown-canton-to-protest-george-floyds-death/'],CCC
,2020-05-29,"Charlotte, NC","Charlotte Mecklenburg Police Department (Beattie Precinct), Charlotte, NC",250.0,about 250,"['https://www.wbtv.com/2020/05/29/hundreds-gather-charlotte-protest-against-death-george-floyd/', 'https://www.wcnc.com/article/news/local/charlotte-protests-george-floyd-killing/275-37aee922-96ad-4059-ae31-25739582a8ee', 'number arrested unknown ']",CCC
,2020-05-29,"Cheyenne, WY","State Capitol, Cheyenne, WY",,,['https://trib.com/news/local/crime-and-courts/casper-police-encourage-businesses-to-temporarily-close-wednesday-during-expected-protest/article_5c09c2ce-3251-5c67-aa40-46a1d0015533.html'],CCC
,2020-05-29,"Chicago, IL","Millennium Park , Chicago, IL",200.0,hundreds ,['https://wgntv.com/news/chicago-news/protesters-march-in-downtown-chicago-after-death-of-george-floyd/'],CCC
,2020-05-29,"Cincinnati, OH","Court House;  I-75; various, Cincinnati, OH",12.0,more than a dozen ,['https://www.cincinnati.com/story/news/2020/05/29/friday-protest-cincinnati-george-floyd-police-killed-unarmed-black-minneapolis-man-5285853002/5285853002/'],CCC
,2020-05-29,"College Station, TX","Intersection of George Bush Drive and Texas Avenue, College Station, TX",,,['https://www.kbtx.com/content/news/George-Floyd-peaceful-protest-forms-in-College-Station-570885181.html'],CCC
,2020-05-29,"Columbia, MO ","Boone County Courthouse, Columbia, MO ",,,['https://twitter.com/LucasABC17/status/1266478394511962112'],CCC
,2020-05-29,"Columbia, MO","Boone County Courthouse, Columbia, MO",600.0,more than 600,['https://www.columbiatribune.com/news/20200529/remembering-floyd-columbia-marchers-protest-black-manrsquos-death'],CCC
,2020-05-29,"Columbus , OH","downtown, Columbus , OH",,,['https://www.wkyc.com/article/news/local/ohio/demonstrators-gather-again-in-columbus-to-protest-death-of-george-floyd/95-6c722fcf-de50-4490-9db8-e55273ed9edc'],CCC
,2020-05-29,"Coronado, CA","Corner of Orange Ave and Sixth Street, Coronado, CA",,,['https://coronadotimes.com/news/2020/06/02/peaceful-protests-hope-to-spread-the-black-lives-matter-message-and-encourage-change/'],CCC
,2020-05-29,"Crystal Lake, IL",", Crystal Lake, IL",12.0,more than a dozen,['https://www.wcia.com/news/dozens-protest-against-plan-to-rid-park-of-geese/'],CCC
