id,date,city_st,location,size,size_str,urls,collection
6442,2017-08-15,"Chicago, IL","Chicago, IL",20.0,20.0,"['http://www.fightbacknews.org/2017/8/15/protesters-march-pretrial-hearing-cop-who-killed-laquan-mcdonald', 'http://www.telegraphherald.com/news/iowa-illinois-wisconsin/article_20b30a66-827d-11e7-a7ce-6f03523d68c1.html']",Count Love
6680,2017-08-15,"Thomasville, GA","Thomasville, GA",,nan,['http://www.live5news.com/story/36142268/police-driver-of-golf-cart-who-tried-to-run-over-protesters-arrested'],Count Love
6681,2017-08-16,"Thomasville, GA","Thomasville, GA",,nan,['http://www.live5news.com/story/36142268/police-driver-of-golf-cart-who-tried-to-run-over-protesters-arrested'],Count Love
6668,2017-08-21,"Thomasville, GA","Thomasville, GA",100.0,100.0,"['http://www.timesenterprise.com/news/local_news/hundreds-march-in-response-to-shooting-death/article_42d9e878-6616-5709-88f8-6b7fd199a132.html', 'http://www.thedailystar.com/cnhi_network/hundreds-march-in-response-to-georgia-shooting-death/collection_bf9f680c-54d5-5921-b6db-ff71917db71b.html', 'http://www.times-news.com/cnhi_network/hundreds-march-in-response-to-georgia-shooting-death/collection_1210bb19-ae64-5a57-9785-726f16ec6278.html', 'http://www.timeswv.com/cnhi_network/hundreds-march-in-response-to-georgia-shooting-death/collection_f7a7115c-eb73-51ab-b5d0-3c1edaae9b82.html', 'http://www.timesenterprise.com/cnhi_network/hundreds-march-in-response-to-georgia-shooting-death/collection_85cf2c95-fcb7-54db-9fd3-46b037d9a086.html']",Count Love
6722,2017-08-24,"Philadelphia, PA","Philadelphia, PA",10.0,10.0,"['http://www.metro.us/news/local-news/philadelphia/black-lives-matter-protestors-rally-home-officer-involved-fatal', 'http://www.philly.com/philly/news/crime/fop-sues-to-stop-release-of-officers-names-after-shootings-20170825.html', 'http://www.philly.com/philly/news/mayor-kenney-bemoans-police-union-chiefs-rabid-animals-comment-20170906.html']",Count Love
6732,2017-08-25,"Bridgeport, CT","Bridgeport, CT",,nan,['http://fox61.com/2017/08/25/exclusive-protesters-rally-to-bridgeport-police-department-to-end-police-brutality/'],Count Love
6814,2017-08-28,"Thomasville, GA","Thomasville, GA",,nan,"['http://www.timesenterprise.com/news/local_news/unity-rally-marches-through-downtown-thomasville/article_ec09e286-8c53-11e7-bba7-0702e66b7f4b.html', 'http://www.timesenterprise.com/news/local_news/unity-march-sweeps-through-downtown-thomasville/article_f7915c2b-afe8-58d7-b92a-d630f1247c40.html', 'http://www.moultrieobserver.com/news/ga_fl_news/unity-march-sweeps-through-downtown-thomasville/article_572bebcf-a5bc-564b-a023-c46eedb8d0d1.html', 'http://www.tiftongazette.com/news/ga_fl_news/unity-march-sweeps-through-downtown-thomasville/article_e8216380-0b82-5a03-9445-ff42d7bec305.html']",Count Love
6820,2017-08-29,"Woodland, CA","Woodland, CA",10.0,10.0,['http://www.dailydemocrat.com/general-news/20170829/picnic-day-5-hearings-continue-protest-held-at-courthouse'],Count Love
6862,2017-08-29,"Kingston, NY","Kingston, NY",30.0,30.0,['http://www.dailyfreeman.com/general-news/20170831/ulster-county-da-kingston-police-officer-take-issue-with-public-defenders-comments-at-protest'],Count Love
6861,2017-08-30,"Detroit, MI","Detroit, MI",200.0,200.0,['http://www.freep.com/story/news/local/michigan/detroit/2017/08/31/demond-grimes-vigil-detroit/105142514/'],Count Love
7228,2017-09-02,"Jacksonville, FL","Jacksonville, FL",30.0,30.0,['http://www.fightbacknews.org/2017/9/3/jacksonville-community-rallies-justice4keegan'],Count Love
7325,2017-09-13,"Kirkwood, MO","Kirkwood, MO",,nan,['http://www.kmov.com/story/36363950/driver-speeds-through-convict-stockley-protest-in-kirkwood-overnight'],Count Love
7327,2017-09-14,"Philadelphia, PA","Philadelphia, PA",6.0,6.0,['http://www.philly.com/philly/news/city-council-faces-protest-and-todays-other-top-stories-you-may-have-missed-20170914.html'],Count Love
